,comment,clean_text,sentimen
0,Mending keluarin Suzuki Fronx,mending keluar suzuki fronx,Netral
1,"lah itu layar dashboardnya aja nutupin kaca depan, mmg sih masih konsep",layar dashboardnya nutupin kaca sih konsep,Netral
2,Ignis cros🎉,ignis cros,Netral
3,Ini beberapa harga om? 1:38,harga om,Netral
4,"Kelamaan, mobil Tiongkok udah banjir di sini, ini masih konsep2 aja. Padahal Toyota udah mulai produksi dari kemarin2",mobil tiongkok banjir konsep toyota produksi kemarin,Negatif
5,Bukan mpv ya.. mn bisa lawan m6 byd😂,mpv ya lawan m byd,Negatif
6,"Pesan pertama buat SUZUKI, kalau memang mobil ini mau di jual di Indonesia, siapkan atau tersediakan spare partnya! Jangan kayak Hybridnya, beli Aki buat Hybrid aja perlu indent 2 - 3 bulan buset deh!",pesan suzuki mobil jual indonesia siap sedia spare partnya hybridnya beli aki hybrid indent buset deh,Positif
7,04:29 susah banget buka pintunya,susah banget buka pintu,Negatif
8,Yang pasti selama infrastruktur dan ekosistem ev di Indonesia belum berkembang belum menarik untuk menggunakan ev sebagai daily driver kecuali buat mereka yang fomo dan punya duit lebih,infrastruktur ekosistem ev indonesia kembang tarik ev daily driver kecuali fomo duit,Netral
9,"langsung ke 7 seater aja.. ev tembus 600km tapi harga di 350-450jt, dijamin laris krn bisa dipakai mudik.",langsung seater ev tembus harga jt jamin laris pakai mudik,Netral
10,"Iterior boleh berubah tapi eksterior jangan. EVX sudah lumayan dapat perhatian karena designnya cukup menarik. Masalah harga, silahkan komparasi dengan mobil produk China yang setera.",iterior ubah eksterior evx lumayan perhati designnya tarik harga silah komparasi mobil produk china tera,Netral
11,"Toyota aja gagal di EV, apalagi pabrikan kecil macam Suzuki. Dulu model Suzuki itu bagus, sempat punya Swift juga. Brand new di tahun 2006. Desain Eropa. Swift yang sekarang, astaga. My next EV will be Chinese Inshallah. BYD Seal.",toyota gagal ev pabrikan suzuki model suzuki bagus swift brand new desain eropa swift astaga my next ev will be chinese inshallah byd seal,Netral
12,bused bantai ?? kata2nya min walah,bused bantai nya min walah,Negatif
13,"Jika Suzuki siap membantai mobil China, maka siap turun harga seharga mobil China",suzuki bantai mobil china turun harga harga mobil china,Negatif
14,"Ngeri mobilnya ,wah banget ,gak cocok di saya ,saya hanya tukang baso kelililng",ngeri mobil banget cocok tukang baso kelililng,Netral
15,mobil konsep sijuki keren2 tp pas masuk produksi juelek😂🤣,mobil konsep sijuki keren pas masuk produksi juelek,Positif
16,"Intinya tunggu aja, beneran kaya gini apa engga 😂",inti tunggu beneran kaya,Netral
17,Hahaha gak akan terealisasi😅,hahaha realisasi,Netral
18,"Keren,manteeebbb,
Yg norak cuma Velgnya",keren manteeebbb norak velgnya,Netral
20,nanti sampai kampung repot nge charge dimana,kampung repot nge charge mana,Negatif
21,sizuki mimpi aja lah. selama kiblatnya ke india,sizuki mimpi kiblat india,Netral
23,Suzuki klo mobil nya laris dihadang ama salesnya dengan menaikan harga... TRAGEDI JIMNY,suzuki mobil nya laris dihadang salesnya naik harga tragedi jimny,Negatif
24,N...I...C....E.....!!!!!!!!!,n i c e,Netral
25,Mobil suzuki ev konsep akan siap melibas mobil2 ev China yg sudah berulangkali diupgrade.?,mobil suzuki ev konsep libas mobil ev china berulangkali diupgrade,Netral
26,hmm.,hmm,Netral
27,"Suzuki itu klo mobil konsepnya cakep bner, tpi klo udh kluar biasanya selera prindavan 😭",suzuki mobil konsep cakep selera prindavan,Positif
28,Next tukar tambah sama xl 7,next tukar xl,Netral
29,Om bahas jetour x70 plus,om bahas jetour x plus,Netral
30,"sayang masih konsep, mobil cina sdh banjir...",sayang konsep mobil cina banjir,Netral
31,Ahh baru concept rilisnya jauh😂😂😂,ahh konsep rilis,Netral
32,Headunit nya ganggu pandangan banget seperti nya,headunit nya ganggu pandang banget nya,Negatif
33,Kayaknya ini bukan bikinan Suzuki India deh..,kayak bikin suzuki india deh,Netral
34,"paling yg diproduksi mobil kaya espreso, udah apal modus2 susuki wkwkwk",produksi mobil kaya espreso apal modus susuk wkwkwk,Negatif
35,Start from 450 juta kayaknya,start juta kayak,Netral
36,Gua suka mobil kekinian yang desainya mengkotak,suka mobil kini desa kotak,Positif
37,Mobil india vs mobil china,mobil india vs mobil china,Netral
38,Kereeeeennn ❤,kereeeeennn,Netral
39,"Tolong bawa designer suzuki tahun 2008-2015, jaman sx4, swift, grand vitara",tolong bawa designer suzuki jaman sx swift grand vitara,Netral
40,Review Mazda cx 60 pro dong.,tinjau mazda cx pro,Netral
41,Suzuki yakin bisa hajar mobil listrik China..? Dari segi harga saja tdk mungkin....😂😂😂😂,suzuki hajar mobil listrik china segi harga,Negatif
42,"Selama desainnya versi frindavan ya mustahil, yg sekarang aja jelek2😂",desain versi frindavan ya mustahil jelek,Negatif
43,"Suzuki mulai berulah, pabrikan lain pasti berbenah nih😅, kelainan Suzuki kan kalo inovasi selalu melampaui zaman, contoh kecil aja di motornya yg sudah cvt elektronik dan saya katakan futuristik utk dimotor, malah di pakai produsen lain saat ini dgn nama lain yg blunder😅.",suzuki ulah pabrikan benah nih lain suzuki inovasi lampau zaman contoh motor cvt elektronik futuristik motor pakai produsen nama blunder,Positif
44,"Alhamdulillah saya baru seminggu meminang XL7 Alpha Hybrid 
setelah lama riset banding2in dengan mobil sekelasnya dan pilihan saya tidak salah, mobil kedap, kaki2 senyap, injek gas nggak terasa tiba2 udah 120km aja😆 
pintu berat (body tebel), build qualitynya joss👍",alhamdulillah minggu pinang xl alpha hybrid riset banding in mobil kelas pilih salah mobil kedap kaki senyap injek gas pintu berat body tebal build qualitynya joss,Positif
45,Bagus desainnya ❤ toooooop,bagus desain toooooop,Positif
46,"Mobil konsepnya suzuki dan produksinya beda jauhh, jauh lebih bagus yg konsep *biasanya begitu",mobil konsep suzuki produksi beda jauhh bagus konsep biasa,Positif
47,bagian yg hrs dibawa ke versi produksi adalah semuanya... keren banget nih... cakep banget nih mobil,bawa versi produksi keren banget nih cakep banget nih mobil,Positif
48,harga nya nanti bikin sakit ginjal...wkwkw,harga nya bikin sakit ginjal wkwkw,Negatif
49,masuk indonesia paling juga jadi nya di atas 800 juta,masuk indonesia nya juta,Netral
