"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@nurarini9018","false","UgwqMvsmXH8EBqv7UqB4AaABAg","Mending keluarin Suzuki Fronx","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","11 hours ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@awiaja2915","false","UgyPUCwo7V4ZL6XUJZ94AaABAg","lah itu layar dashboardnya aja nutupin kaca depan, mmg sih masih konsep","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","19 hours ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@frdystywn0771","false","UgydH-g-wcR3Xf30TMN4AaABAg","Ignis cros🎉","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","1 day ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@mildavid","false","UgySt_KDA0pZQ0FaRAN4AaABAg","Ini beberapa harga om? 1:38","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","2 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@buwubanov","false","UgwhVdCy71so8G2SnLh4AaABAg","Kelamaan, mobil Tiongkok udah banjir di sini, ini masih konsep2 aja. Padahal Toyota udah mulai produksi dari kemarin2","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","2 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@nurhidayah-cp9ox","false","UgynJGMdwoKJgeGKkzB4AaABAg","Bukan mpv ya.. mn bisa lawan m6 byd😂","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","2 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@kaivanautomotive4378","false","UgzPgvOHH1vJ8XRixbJ4AaABAg","Pesan pertama buat SUZUKI, kalau memang mobil ini mau di jual di Indonesia, siapkan atau tersediakan spare partnya! Jangan kayak Hybridnya, beli Aki buat Hybrid aja perlu indent 2 - 3 bulan buset deh!","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","3 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@doyanmakanhobifoto","false","Ugxdd2eAFenPVGDsY654AaABAg","04:29 susah banget buka pintunya","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","3 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@MrThomasrichi","false","UgwTxiEnf_f0EHeKADR4AaABAg","Yang pasti selama infrastruktur dan ekosistem ev di Indonesia belum berkembang belum menarik untuk menggunakan ev sebagai daily driver kecuali buat mereka yang fomo dan punya duit lebih","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","3 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@cikokustamsi1453","false","Ugw_a9sG8MwUDa-q9QF4AaABAg","langsung ke 7 seater aja.. ev tembus 600km tapi harga di 350-450jt, dijamin laris krn bisa dipakai mudik.","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","3 days ago","1",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@agungsetiadi2066","false","Ugw3qGyanqfhwlHwNkZ4AaABAg","Iterior boleh berubah tapi eksterior jangan. EVX sudah lumayan dapat perhatian karena designnya cukup menarik. Masalah harga, silahkan komparasi dengan mobil produk China yang setera.","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","3 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
