,comment,Labeling ,clean_text
0,,,nan
1,Harris Sarah Moore Maria Lopez John,netral,harris sarah moore maria lopez john
2,Good Product for Suzuki Mobil ....Saya penggiat mobil Suzuki...,positif,good produk suzuki mobil giat mobil suzuki
3,"Eksterior & interiornya keren banget....sangat futuristik,mudah2an tersedia warna ini juga,jangan item putih doang di produksi massal",positif,eksterior interior keren bangetsangat futuristikmudah2an sedia warna jugajangan item putih produksi massal
4,Mobil konsep = php,negatif,mobil konsep php
5,Kabarnya tahun depan Suzuki bakal luncurin mobil baru & di rakit di indo secara CKD!! Apakah ini?😮,netral,kabar suzuki luncurin mobil rakit indonesia ckd
6,Nanti udh jadi harganya di mark up sama salesnya jangan arepin yang banyak dari suzuki,negatif,harga mark up salesnya arepin suzuki
7,"Kedepannya pasti
CBU Suzuki Maruti INDIA
😂😂😂",negatif,depan cbu suzuki marut india
8,Mantaap otodriver,positif,mantaap otodriver
9,Keren,positif,keren
10,Review fronx bang,netral,tinjau fronx bang
11,dan tidak untuk pasar Indonesia. wkwkwk,netral,pasar indonesia wkwkwk
12,"saya berikan apresiasi kepada mas adit, cara dan gaya menyampaikannya makin luwes, jelas, tidak ""serupa"" gaya mas fitra eri (atau itu memang templet di otodriver ya?🤔) lanjutkan dan jadi diri sendiri👍👍",positif,apresiasi mas adit gaya sampai luwes gaya mas fitra eri templet otodriver ya lanjut
13,Berharap Fronx masuk,positif,harap fronx masuk
14,Hybrid Suzuki aja masih yang jadi-jadian apalagi yang full ev? 11-12 sama Daihatsu yang doyan bikin concept doang 😂😂😂,negatif,hybrid suzuki jadijadian full ev 1112 daihatsu doyan bikin konsep
15,Mirip Mtsu XForce,netral,mtsu xforce
16,"Kirain mau launching fronx, malah cma pamer mobil konsep 😅",negatif,kirain launching fronx cma pamer mobil konsep
17,Nunggu Jimny EV 😅,netral,nunggu jimny ev
18,produsen Jepang sepertinya kesulitan dalam hal batre,negatif,produsen jepang sulit baterai
19,Rasanya gapercaya suzuki bisa design begini😂,negatif,percaya suzuki design
20,Mirip XForce,netral,xforce
21,Nah iya 😢 berharap Fronx yang pake mesin K15C masuk,positif,iya harap fronx pakai mesin k15c masuk
22,Martin Frank Perez Robert Allen Lisa,netral,martin frank perez robert allen lisa
23,Lopez Steven Gonzalez Amy White Charles,netral,lopez steven gonzalez amy white charles
24,Brown Betty Brown Karen Hernandez Frank,netral,brown betty brown karen hernandez frank
25,Williams Carol Lewis Patricia Walker Ruth,netral,williams carol lewis patricia walker ruth
26,Martinez Sharon Lopez Jason Moore Jason,netral,martinez sharon lopez jason moore jason
27,Lewis Steven Rodriguez Daniel Williams Frank,netral,lewis steven rodriguez daniel williams frank
28,Walker Paul Davis Sharon Johnson Jose,negatif,walker paul davis sharon johnson jose
29,Harris Charles Clark Sarah Wilson Barbara,negatif,harris charles clark sarah wilson barbara
30,yg dijual di indo palingan disain india 😁,negatif,jual indonesia paling disain india
31,Produk India Hillsat 😂,negatif,produk india hillsat
32,"Suzuki EV is the best candidat and cheapest EV in the world, especially LCGC EV version......is the best choice....",positif,suzuki ev is the best candidat and cheapest ev in the dunia especially lcgc ev versionis the best choice
33,"Kalau masuk Indonesia paling mau ngikut yg di jepang asli pasti mahal minta ampun.. 😂😂 nggak akan bisa bersaing sama brand china.. kalau, pajak barang mewah indo kagak ngotak.. 
Jadi jangan terlalu tinggi ekspetasinya kalau masih concept..",negatif,masuk indonesia ngikut jepang asli mahal ampun saing brand china pajak barang mewah indonesia ngotak ekspetasinya konsep
34,"Come On Suzuki, Merk2 lain udh pada jual mobil listrik,  ini kok masi konsep???😁😁😁",negatif,come on suzuki merk2 jual mobil listrik konsep
35,mirip ferrari purosangue,positif,ferrari purosangue
36,Kayaknya desainer yg dulu udah di pecat 😂,netral,kayak desainer pecat
37,"Ayo dong tanya harga jimny lagi, penasaran msh mark up harga jimny gak nih? 😅",netral,ayo harga jimny penasaran mark up harga jimny nih
38,"TIMESTAMP
0:00 - 8:15 MOCHAMMAD ARIQ ATILLAH",netral,timestamp 000 815 mochammad ariq atillah
39,"Cina tanpa byk konsep""an...langsung menggebrak pasar Indonesia dg model"" yg futuristik",positif,cina konsepanlangsung gebrak pasar indonesia model futuristik
40,Keren bgt yak 😮,positif,keren banget yak
41,Konsep2 eh keluarnya 2 tahun kemudian dengan fitur disunat😂,negatif,konsep2 eh keluar 2 fitur sunat
42,"Suzuki eVX tampil keren banget di GIIAS, kira-kira bakal diterusin engga ya desainnya ke versi produksi?",positif,suzuki evx tampil keren banget giias kirakira diterusin ya desain versi produksi
43,"suzuki conpet seperti ini
real life nanti vrindavan
😂",negatif,suzuki conpet real life vrindavan
44,berawal dari hybrid langsung di surprize ada mobil full listrik ajaa wkwk,positif,hybrid langsung surprize mobil full listrik ajaa wkwk
45,"kalo gue punya mobil ini kyknya ngantuk mulu dah bawaannya, karna keliatannya nyaman bgt 🤣",positif,mobil ngantuk mulu bawa nyaman banget
46,"anjayy, galak bener nih si evx, desainnya oke, fitur2nya gak kalah saing.",positif,anjayy galak bener nih si evx desain oke fitur2nya kalah saing
47,Keren mantab👍👍,positif,keren mantap
48,Apik ya...,positif,apik ya
