instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,date
1,2011-01-01,springer,2011,Jan,0,No,Sat,No,Normal,10.0,14.0,81.0,0.0,3,13,16,01
2,2011-01-01,springer,2011,Jan,1,No,Sat,No,Normal,9.0,14.0,80.0,0.0,8,32,40,01
3,2011-01-01,springer,2011,Jan,2,No,Sat,No,Normal,9.0,14.0,80.0,0.0,5,27,32,01
4,2011-01-01,springer,2011,Jan,3,No,Sat,No,Normal,10.0,14.0,75.0,0.0,3,10,13,01
5,2011-01-01,springer,2011,Jan,4,No,Sat,No,Normal,10.0,14.0,75.0,0.0,0,1,1,01
6,2011-01-01,springer,2011,Jan,5,No,Sat,No,Moderate,10.0,13.0,75.0,6.0,0,1,1,01
7,2011-01-01,springer,2011,Jan,6,No,Sat,No,Normal,9.0,14.0,80.0,0.0,2,0,2,01
8,2011-01-01,springer,2011,Jan,7,No,Sat,No,Normal,8.0,13.0,86.0,0.0,1,2,3,01
9,2011-01-01,springer,2011,Jan,8,No,Sat,No,Normal,10.0,14.0,75.0,0.0,1,7,8,01
10,2011-01-01,springer,2011,Jan,9,No,Sat,No,Normal,13.0,17.0,76.0,0.0,8,6,14,01
11,2011-01-01,springer,2011,Jan,10,No,Sat,No,Normal,16.0,20.0,76.0,17.0,12,24,36,01
12,2011-01-01,springer,2011,Jan,11,No,Sat,No,Normal,15.0,17.0,81.0,19.0,26,30,56,01
13,2011-01-01,springer,2011,Jan,12,No,Sat,No,Normal,17.0,21.0,77.0,19.0,29,55,84,01
14,2011-01-01,springer,2011,Jan,13,No,Sat,No,Moderate,19.0,23.0,72.0,20.0,47,47,94,01
15,2011-01-01,springer,2011,Jan,14,No,Sat,No,Moderate,19.0,23.0,72.0,19.0,35,71,106,01
16,2011-01-01,springer,2011,Jan,15,No,Sat,No,Moderate,18.0,22.0,77.0,20.0,40,70,110,01
17,2011-01-01,springer,2011,Jan,16,No,Sat,No,Moderate,17.0,21.0,82.0,20.0,41,52,93,01
18,2011-01-01,springer,2011,Jan,17,No,Sat,No,Moderate,18.0,22.0,82.0,19.0,15,52,67,01
19,2011-01-01,springer,2011,Jan,18,No,Sat,No,Caution,17.0,21.0,88.0,17.0,9,26,35,01
20,2011-01-01,springer,2011,Jan,19,No,Sat,No,Caution,17.0,21.0,88.0,17.0,6,31,37,01
21,2011-01-01,springer,2011,Jan,20,No,Sat,No,Moderate,16.0,20.0,87.0,17.0,11,25,36,01
22,2011-01-01,springer,2011,Jan,21,No,Sat,No,Moderate,16.0,20.0,87.0,13.0,3,31,34,01
23,2011-01-01,springer,2011,Jan,22,No,Sat,No,Moderate,16.0,20.0,94.0,15.0,11,17,28,01
24,2011-01-01,springer,2011,Jan,23,No,Sat,No,Moderate,19.0,23.0,88.0,20.0,15,24,39,01
25,2011-01-02,springer,2011,Jan,0,No,Sun,No,Moderate,19.0,23.0,88.0,20.0,4,13,17,02
26,2011-01-02,springer,2011,Jan,1,No,Sun,No,Moderate,18.0,22.0,94.0,17.0,1,16,17,02
27,2011-01-02,springer,2011,Jan,2,No,Sun,No,Moderate,17.0,21.0,100.0,19.0,1,8,9,02
28,2011-01-02,springer,2011,Jan,3,No,Sun,No,Moderate,19.0,23.0,94.0,13.0,2,4,6,02
29,2011-01-02,springer,2011,Jan,4,No,Sun,No,Moderate,19.0,23.0,94.0,13.0,2,1,3,02
30,2011-01-02,springer,2011,Jan,6,No,Sun,No,Caution,17.0,21.0,77.0,20.0,0,2,2,02
31,2011-01-02,springer,2011,Jan,7,No,Sun,No,Moderate,16.0,20.0,76.0,13.0,0,1,1,02
32,2011-01-02,springer,2011,Jan,8,No,Sun,No,Caution,16.0,20.0,71.0,15.0,0,8,8,02
33,2011-01-02,springer,2011,Jan,9,No,Sun,No,Moderate,16.0,20.0,76.0,15.0,1,19,20,02
34,2011-01-02,springer,2011,Jan,10,No,Sun,No,Moderate,15.0,17.0,81.0,15.0,7,46,53,02
35,2011-01-02,springer,2011,Jan,11,No,Sun,No,Moderate,15.0,17.0,71.0,17.0,16,54,70,02
36,2011-01-02,springer,2011,Jan,12,No,Sun,No,Moderate,15.0,17.0,66.0,20.0,20,73,93,02
37,2011-01-02,springer,2011,Jan,13,No,Sun,No,Moderate,15.0,17.0,66.0,9.0,11,64,75,02
38,2011-01-02,springer,2011,Jan,14,No,Sun,No,Caution,15.0,17.0,76.0,13.0,4,55,59,02
39,2011-01-02,springer,2011,Jan,15,No,Sun,No,Caution,14.0,17.0,81.0,11.0,19,55,74,02
40,2011-01-02,springer,2011,Jan,16,No,Sun,No,Caution,14.0,17.0,71.0,11.0,9,67,76,02
41,2011-01-02,springer,2011,Jan,17,No,Sun,No,Normal,14.0,17.0,57.0,13.0,7,58,65,02
42,2011-01-02,springer,2011,Jan,18,No,Sun,No,Moderate,15.0,17.0,46.0,22.0,10,43,53,02
