instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,date
1,2011-01-01,springer,2011,Jan,No,Sat,No,Moderate,14.0,18.0,81.0,11.0,331,654,985,01
2,2011-01-02,springer,2011,Jan,No,Sun,No,Moderate,15.0,18.0,70.0,17.0,131,670,801,02
3,2011-01-03,springer,2011,Jan,No,Mon,Yes,Normal,8.0,9.0,44.0,17.0,120,1229,1349,03
4,2011-01-04,springer,2011,Jan,No,Tue,Yes,Normal,8.0,11.0,59.0,11.0,108,1454,1562,04
5,2011-01-05,springer,2011,Jan,No,Wed,Yes,Normal,9.0,11.0,44.0,13.0,82,1518,1600,05
6,2011-01-06,springer,2011,Jan,No,Thr,Yes,Normal,8.0,12.0,52.0,6.0,88,1518,1606,06
7,2011-01-07,springer,2011,Jan,No,Fri,Yes,Moderate,8.0,10.0,50.0,11.0,148,1362,1510,07
8,2011-01-08,springer,2011,Jan,No,Sat,No,Moderate,7.0,8.0,54.0,18.0,68,891,959,08
9,2011-01-09,springer,2011,Jan,No,Sun,No,Normal,6.0,6.0,43.0,24.0,54,768,822,09
10,2011-01-10,springer,2011,Jan,No,Mon,Yes,Normal,6.0,8.0,48.0,15.0,41,1280,1321,10
11,2011-01-11,springer,2011,Jan,No,Tue,Yes,Moderate,7.0,10.0,69.0,8.0,43,1220,1263,11
12,2011-01-12,springer,2011,Jan,No,Wed,Yes,Normal,7.0,8.0,60.0,20.0,25,1137,1162,12
13,2011-01-13,springer,2011,Jan,No,Thr,Yes,Normal,7.0,8.0,47.0,20.0,38,1368,1406,13
14,2011-01-14,springer,2011,Jan,No,Fri,Yes,Normal,7.0,9.0,54.0,8.0,54,1367,1421,14
15,2011-01-15,springer,2011,Jan,No,Sat,No,Moderate,10.0,12.0,50.0,11.0,222,1026,1248,15
16,2011-01-16,springer,2011,Jan,No,Sun,No,Normal,9.0,12.0,48.0,13.0,251,953,1204,16
